source	target
GO:0008150	GO:0008152
GO:0008150	GO:0051179
GO:0008150	GO:0032502
GO:0008150	GO:0050896
GO:0008150	GO:0002376
GO:0008150	GO:0022414
GO:0008150	GO:0044419
GO:0008150	GO:0048511
GO:0008150	GO:0023052
GO:0008150	GO:0016032
GO:0008150	GO:0000003
GO:0008150	GO:0040011
GO:0008150	GO:0043473
GO:0008152	GO:0071704
GO:0008152	GO:0009058
GO:0008152	GO:0009056
GO:0008152	GO:0044281
GO:0008152	GO:0070988
GO:0008152	GO:0070085
GO:0008152	GO:1990845
GO:0008152	GO:0019748
GO:0008152	GO:0042445
GO:0008152	GO:0032259
GO:0008152	GO:0006807
GO:0008152	GO:0016999
GO:0008152	GO:0045730
GO:0008152	GO:0006734
GO:0071704	GO:0006629
GO:0071704	GO:0019637
GO:0071704	GO:0043170
GO:0071704	GO:0019695
GO:0071704	GO:1901135
GO:0071704	GO:0009812
GO:0071704	GO:0042180
GO:0071704	GO:0006082
GO:0071704	GO:0005975
GO:0071704	GO:0042197
GO:0071704	GO:0006081
GO:0071704	GO:0046500
GO:0006629	GO:0044255
GO:0006629	GO:0008202
GO:0006629	GO:0008610
GO:0006629	GO:0016042
GO:0044255	GO:0006644
GO:0044255	GO:0006643
GO:0044255	GO:0006638
GO:0044255	GO:0006631
GO:0044255	GO:0006720
GO:0044255	GO:0030258
GO:0044255	GO:0006490
GO:0044255	GO:0044242
GO:0006644	GO:0006650
GO:0006644	GO:0008654
GO:0006644	GO:0009395
GO:0006650	GO:0046488
GO:0006650	GO:2001311
GO:0006650	GO:0046337
GO:0006650	GO:0046471
GO:0006650	GO:0046469
GO:0006650	GO:0006658
GO:0006650	GO:0046470
GO:0006650	GO:0016254
GO:0046488	GO:0036149
GO:0046488	GO:1904562
GO:0046488	GO:0031161
GO:0046488	GO:0006505
GO:0046488	GO:0046856
GO:0046488	GO:1903100
GO:0051179	GO:0051641
GO:0051179	GO:0031503
GO:0051179	GO:0051640
GO:0051179	GO:0033036
GO:0051179	GO:0061842
GO:0051179	GO:0035732
GO:0051641	GO:0046907
GO:0051641	GO:0071166
GO:0051641	GO:0051668
GO:0051641	GO:0051666
GO:0046907	GO:0006888
GO:0046907	GO:0006886
GO:0046907	GO:0032365
GO:0046907	GO:0030705
GO:0046907	GO:0090110
GO:0046907	GO:0007034
GO:0046907	GO:0007097
GO:0046907	GO:0046967
GO:0046907	GO:0055107
GO:0046907	GO:0150007
GO:0046907	GO:0016182
GO:0046907	GO:0016197
GO:0046907	GO:0090118
GO:0046907	GO:0016482
GO:0046907	GO:1990036
GO:0046907	GO:0036466
GO:0032502	GO:0009653
GO:0032502	GO:0048856
GO:0032502	GO:0009838
GO:0032502	GO:0048646
GO:0032502	GO:0021700
GO:0032502	GO:0031128
GO:0032502	GO:0060033
GO:0032502	GO:0098727
GO:0009653	GO:0021602
GO:0009653	GO:0048598
GO:0009653	GO:0048729
GO:0009653	GO:0035239
GO:0009653	GO:0048852
GO:0009653	GO:0007440
GO:0009653	GO:0009887
GO:0009653	GO:0000902
GO:0009653	GO:0021587
GO:0009653	GO:0061072
GO:0009653	GO:0003142
GO:0009653	GO:0021696
GO:0009653	GO:0001946
GO:0009653	GO:0010171
GO:0009653	GO:1905223
GO:0009653	GO:0003179
GO:0009653	GO:0031069
GO:0009653	GO:0002089
GO:0009653	GO:0060325
GO:0009653	GO:0021683
GO:0009653	GO:0036303
GO:0009653	GO:0072028
GO:0009653	GO:0060658
GO:0009653	GO:0072102
GO:0009653	GO:0035910
GO:0009653	GO:0060323
GO:0009653	GO:0061197
GO:0009653	GO:0060042
GO:0009653	GO:0060411
GO:0009653	GO:0003149
GO:0009653	GO:0003151
GO:0009653	GO:0097094
GO:0009653	GO:0021687
GO:0009653	GO:0035922
GO:0009653	GO:0021692
GO:0009653	GO:0072050
GO:0009653	GO:1905222
GO:0009653	GO:0001763
GO:0009653	GO:0007442
GO:0009653	GO:0061383
GO:0009653	GO:0003160
GO:0009653	GO:1904693
GO:0009653	GO:1905748
GO:0009653	GO:0061073
GO:0009653	GO:0036304
GO:0009653	GO:0072049
GO:0009653	GO:0021575
GO:0009653	GO:0060463
GO:0009653	GO:0061301
GO:0009653	GO:0021551
GO:0009653	GO:0048853
GO:0009653	GO:0036342
GO:0021602	GO:0021615
GO:0021602	GO:0021610
