genes	node_id
ARF5	0
M6PR	1
FKBP4	2
CYP26B1	3
NDUFAF7	4
FUCA2	5
HS3ST1	6
SEMA3F	7
CFTR	8
CYP51A1	9
USP28	10
SLC7A2	11
PDK4	12
USH1C	13
RALA	14
BAIAP2L1	15
CACNG3	16
TMEM132A	17
DVL2	18
RPAP3	19
SKAP2	20
PRSS21	21
HOXA11	22
CX3CL1	23
TRAPPC6A	24
WDR54	25
SPATA20	26
CEACAM7	27
RHBDD2	28
TSR3	29
OSBPL7	30
YBX2	31
ITGA3	32
KRT33A	33
TFAP2D	34
CRY1	35
PGLYRP1	36
STARD3NL	37
CAMK1G	38
CD74	39
FAM76A	40
CPA1	41
SYPL1	42
RANBP9	43
CD4	44
TSPAN9	45
QPCTL	46
PPP5C	47
UBR7	48
MAP4K5	49
INMT	50
ERCC1	51
GPRC5A	52
HEBP1	53
COX15	54
MS4A12	55
RGPD5	56
XYLT2	57
SCTR	58
RALBP1	59
PSD	60
SYT13	61
SLC7A9	62
RTFDC1	63
RB1CC1	64
AKAP11	65
PIGQ	66
CDH17	67
B4GALT7	68
FAM13B	69
CHPF2	70
LRRC7	71
GABARAPL2	72
MYOC	73
FAM136A	74
OTC	75
TTC17	76
HOXC8	77
MRI1	78
BOD1L1	79
TARBP1	80
RTN4R	81
PSMA4	82
ZPBP	83
LCP2	84
DCN	85
TNFRSF17	86
MRPS10	87
GRN	88
THAP3	89
VAMP3	90
UTS2	91
RCN1	92
RFC2	93
PPP1R3F	94
KIAA2022	95
ARHGEF5	96
NFE2L3	97
TLL1	98
NNAT	99
CBLN4	100
CLDN11	101
FAM168A	102
RELT	103
PKP2	104
YIPF1	105
ADCK2	106
INPP4A	107
SLC2A3	108
STYK1	109
GNA11	110
CREB3L3	111
HDAC7	112
MRPS35	113
APPBP2	114
CA11	115
ISOC2	116
CD22	117
GSC2	118
KCNQ1	119
TRPM5	120
TRIB2	121
OTUD5	122
GPKOW	123
AQR	124
ST6GALNAC1	125
LMCD1	126
PSMC4	127
FNDC8	128
CAMKK1	129
ACAP1	130
DERL2	131
NOX3	132
ANO8	133
KDM4B	134
ICAM3	135
CTTNBP2	136
ACTL6B	137
KIF22	138
PRSS22	139
CEACAM1	140
YTHDC2	141
TMEM161A	142
FOXJ2	143
TNFRSF1A	144
GOLGA5	145
CELSR3	146
PPP2R5B	147
PYGM	148
BCL3	149
PIGB	150
PDZD4	151
PRLH	152
FSTL3	153
EPHA8	154
TRIP13	155
VASH1	156
KRT14	157
KRT20	158
SPP2	159
HSD17B10	160
FGF4	161
ST6GAL1	162
TIMM21	163
BPIFB2	164
REXO1	165
