name,fn_met_active_neigh,genes,max,min,weight
15702,0.8,C20orf173,0.8,0.8,NA
17915,0.797297297,ENSG00000259784,0.8,0.7,0.716981132
19295,0.777777778,ENSG00000279168,0.8,0.7,0.716981132
7368,0.776315789,ACSM2B,0.8,0.7,0.716981132
8474,0.773809524,ACSM6,0.8,0.7,0.716981132
15016,0.766990291,GLYCTK,0.8,0.7,0.716981132
17484,0.760869565,ENSG00000255730,0.8,0.7,0.716981132
17774,0.753968254,ENSG00000258728,0.8,0.7,0.716981132
605,0.75245098,CYP4F3,0.8,0.7,0.716981132
14350,0.751412429,ACSM4,0.8,0.7,0.716981132
6147,0.75,C11orf86,0.8,0.7,0.716981132
11476,0.74537037,OXCT2,0.8,0.7,0.716981132
7409,0.744725738,ACSM5,0.8,0.7,0.716981132
18461,0.742372881,SDR42E2,0.8,0.7,0.716981132
17678,0.74025974,CYP4F12,0.8,0.7,0.716981132
18598,0.74005305,CYP4F8,0.8,0.7,0.716981132
17115,0.734627832,CYB5RL,0.8,0.7,0.716981132
17442,0.733766234,SLC34A3,0.8,0.7,0.716981132
11167,0.732447818,CYP2C19,0.8,0.7,0.716981132
664,0.731207289,GCDH,0.8,0.7,0.716981132
6764,0.729411765,CHDH,0.8,0.7,0.716981132
4883,0.727848101,HSD3B7,0.8,0.7,0.716981132
3582,0.725135624,BHMT,0.8,0.7,0.716981132
1885,0.724215247,PEMT,0.8,0.7,0.716981132
13640,0.72410455,PC,0.8,0.7,0.716981132
1872,0.722863741,DMGDH,0.8,0.7,0.716981132
11158,0.719438878,CYP2C8,0.8,0.7,0.716981132
16522,0.718146718,ADH7,0.8,0.7,0.716981132
7081,0.718045113,HACL1,0.8,0.7,0.716981132
7801,0.717832957,SDR42E1,0.8,0.7,0.716981132
1120,0.717131474,SLC5A9,0.8,0.7,0.716981132
4073,0.717079531,ACAA2,0.8,0.7,0.716981132
12996,0.717054264,GGT6,0.8,0.7,0.716981132
3846,0.717041801,LDHAL6A,0.8,0.7,0.716981132
14566,0.716621253,CYP4F11,0.8,0.7,0.716981132
15540,0.716049383,ENSG00000251357,0.8,0.7,0.716981132
11000,0.715909091,GOT1,0.8,0.7,0.716981132
299,0.714705882,GSTA3,0.8,0.7,0.716981132
12852,0.714285714,TMEM239,0.8,0.7,0.716981132
633,0.713004484,CYP4F2,0.8,0.7,0.716981132
1873,0.71257485,BHMT2,0.8,0.7,0.716981132
2006,0.711304348,SDS,0.8,0.7,0.716981132
11092,0.710963455,GSTA5,0.8,0.7,0.716981132
11627,0.710865562,UGT1A1,0.8,0.7,0.716981132
11950,0.709497207,PLA2G2E,0.8,0.7,0.716981132
18492,0.70911215,HADH,0.8,0.7,0.716981132
1056,0.708126036,ACADL,0.8,0.7,0.716981132
12850,0.707612457,AKR1C3,0.8,0.7,0.716981132
18978,0.707317073,FMO1,0.8,0.7,0.716981132
17391,0.707165109,ENSG00000257046,0.8,0.7,0.716981132
16509,0.706935123,GSTA2,0.8,0.7,0.716981132
2289,0.704477612,SLCO1B3,0.8,0.7,0.716981132
6541,0.703038674,ACSS1,0.8,0.7,0.716981132
3068,0.702614379,ADH4,0.8,0.7,0.716981132
2535,0.7025,MLYCD,0.8,0.7,0.716981132
10814,0.702331962,ME1,0.8,0.7,0.716981132
7149,0.701943844,CYP2B6,0.8,0.7,0.716981132
15595,0.701657459,LOC388813,0.8,0.7,0.716981132
11622,0.701117318,UGT1A5,0.8,0.7,0.716981132
18361,0.7,FAM231C,0.7,0.7,NA
18446,0.7,FAM231B,0.7,0.7,NA
1758,0.699646643,ACSS2,0.7,0.6,0.566835871
5391,0.699065421,UGT1A6,0.7,0.6,0.566835871
12829,0.699059561,AKR1C4,0.7,0.6,0.566835871
5074,0.698312236,LDHD,0.7,0.6,0.566835871
6858,0.697115385,ME2,0.7,0.6,0.566835871
19076,0.696517413,ALG1L,0.7,0.6,0.566835871
3184,0.696236559,AMDHD1,0.7,0.6,0.566835871
13774,0.696113074,ADH6,0.7,0.6,0.566835871
11624,0.695652174,UGT1A7,0.7,0.6,0.566835871
8142,0.695390782,GSTA1,0.7,0.6,0.566835871
17287,0.694822888,ACADVL,0.7,0.6,0.566835871
17346,0.694589878,ME3,0.7,0.6,0.566835871
10832,0.69451074,SLC16A4,0.7,0.6,0.566835871
13233,0.694352159,NOX5,0.7,0.6,0.566835871
